name,owner,stars,language,pr_number,pr_title,pr_state,pr_author,pr_created_at,pr_closed_at,pr_merged_at,pr_is_merged,pr_base_branch,pr_head_branch,pr_additions,pr_deletions,pr_changed_files,pr_total_changes,pr_comments_count,pr_reviews_count,pr_review_requests_count,pr_commits_count,pr_participants_count,pr_assignees_count,pr_labels,pr_labels_count,pr_review_decision,pr_is_draft,pr_lifetime_hours,pr_time_to_merge_hours,has_code_review
awesome,sindresorhus,403538,Unknown,2612,Add Game AI DevTools,CLOSED,Yuan-ManX,2023-05-06T03:41:30Z,2023-05-21T03:16:22Z,,False,main,Game-AI-Development-Tools,1,0,1,1,4,2,0,1,7,0,,0,,False,359.5811111111111,,True
free-programming-books,EbookFoundation,370951,Python,11980,Added C Programming: A Modern Approach to C section,CLOSED,DasariAishwarya,2025-09-26T14:58:30Z,2025-09-27T15:33:45Z,,False,main,main,5,1,1,6,7,2,0,7,2,0,linter error,1,,False,24.5875,,True
free-programming-books,EbookFoundation,370951,Python,11954,Reorganize Algorithms and Data Structures sections in free-courses-hi.md,MERGED,gpl-gowthamchand,2025-09-13T01:01:30Z,2025-09-17T12:57:00Z,2025-09-17T12:57:00Z,True,main,reorganize-algorithms-data-structures,36,35,1,71,13,2,0,13,2,0,,0,,False,107.925,107.925,True
free-programming-books,EbookFoundation,370951,Python,11933,rename Coq to Rocq Prover,MERGED,womeier,2025-08-29T19:34:52Z,2025-09-01T09:58:11Z,2025-09-01T09:58:11Z,True,main,main,20,15,3,35,3,2,0,1,2,0,,0,,False,62.38861111111111,62.38861111111111,True
free-programming-books,EbookFoundation,370951,Python,11841,"Add ""Science, Programming, Art and Radioelectronics Club"" (SPARC) book",MERGED,artyom-poptsov,2025-03-08T11:47:24Z,2025-03-08T20:10:55Z,2025-03-08T20:10:55Z,True,main,avp-add-sparc-book,7,0,2,7,1,2,0,3,2,0,,0,,False,8.391944444444444,8.391944444444444,True
free-programming-books,EbookFoundation,370951,Python,11840,Added new HTML and CSS Course ,MERGED,Apexq,2025-03-06T16:51:28Z,2025-03-06T21:28:02Z,2025-03-06T21:28:02Z,True,main,main,1,0,1,1,1,2,0,4,2,0,,0,,False,4.609444444444445,4.609444444444445,True
free-programming-books,EbookFoundation,370951,Python,11821,Added licenses with proper format and sources,CLOSED,Antrikshgwal,2025-01-25T16:02:58Z,2025-05-19T12:44:03Z,,False,main,main,4,4,1,8,3,2,0,2,3,0,waiting for changes|linter error,2,,False,2732.6847222222223,,True
free-programming-books,EbookFoundation,370951,Python,11779,Add Succeed In Software Book,MERGED,SeanCannon,2024-12-02T00:12:14Z,2024-12-02T17:20:46Z,2024-12-02T17:20:46Z,True,main,main,1,0,1,1,1,2,0,2,3,0,,0,,False,17.142222222222223,17.142222222222223,True
free-programming-books,EbookFoundation,370951,Python,11756,chore(deps): bump tj-actions/changed-files from 45.0.3 to 45.0.4,MERGED,dependabot,2024-11-09T11:15:00Z,2024-11-09T23:36:28Z,2024-11-09T23:36:28Z,True,main,dependabot/github_actions/tj-actions/changed-files-45.0.4,1,1,1,2,0,2,0,1,3,0,🤖 automation|🔗 dependencies|🔗 dependencies:github-actions,3,APPROVED,False,12.357777777777779,12.357777777777779,True
free-programming-books,EbookFoundation,370951,Python,11750,Add How to Think Like a Computer Scientist Learning with Python 3 (Ao…,MERGED,opticaldrive,2024-11-06T19:47:48Z,2024-11-07T18:48:16Z,2024-11-07T18:48:16Z,True,main,patch-1,1,0,1,1,4,2,0,4,2,0,,0,CHANGES_REQUESTED,False,23.00777777777778,23.00777777777778,True
free-programming-books,EbookFoundation,370951,Python,11748,Added License,MERGED,Ajay-singh1,2024-11-06T05:35:16Z,2024-11-07T02:30:25Z,2024-11-07T02:30:25Z,True,main,ajay-2,1,1,1,2,1,2,0,4,2,0,,0,,False,20.919166666666666,20.919166666666666,True
free-programming-books,EbookFoundation,370951,Python,11728,Added Ezhil Programming Book In Tamil Language,MERGED,0xParcival,2024-10-30T04:18:03Z,2024-11-02T20:18:15Z,2024-11-02T20:18:15Z,True,main,patch-1,6,0,1,6,0,2,0,2,3,0,waiting for changes,1,,False,88.00333333333333,88.00333333333333,True
free-programming-books,EbookFoundation,370951,Python,11725,CC Licenses added in PT-BR books section,MERGED,mateus-fernandes20,2024-10-30T03:18:16Z,2024-10-30T21:11:57Z,2024-10-30T21:11:57Z,True,main,patch-4,4,4,1,8,2,2,0,3,3,0,,0,,False,17.89472222222222,17.89472222222222,True
free-programming-books,EbookFoundation,370951,Python,11704,Adding git course in PT-BR section,MERGED,mateus-fernandes20,2024-10-27T16:12:57Z,2024-10-28T20:07:35Z,2024-10-28T20:07:35Z,True,main,patch-3,1,0,1,1,0,2,0,3,2,0,waiting for changes,1,,False,27.910555555555554,27.910555555555554,True
free-programming-books,EbookFoundation,370951,Python,11692,Update free-courses-te.md,MERGED,SrishBansal,2024-10-27T06:21:06Z,2024-10-27T16:49:11Z,2024-10-27T16:49:11Z,True,main,patch-8,1,0,1,1,1,2,0,2,2,0,waiting for changes,1,,False,10.468055555555555,10.468055555555555,True
free-programming-books,EbookFoundation,370951,Python,11682,Adding (CC BY) licenses in GO (PT-BR) section,MERGED,mateus-fernandes20,2024-10-25T18:25:24Z,2024-10-26T17:35:39Z,2024-10-26T17:35:39Z,True,main,patch-2,3,3,1,6,0,2,0,4,2,0,,0,,False,23.170833333333334,23.170833333333334,True
free-programming-books,EbookFoundation,370951,Python,11680,Update free-courses-ml.md,MERGED,SrishBansal,2024-10-25T14:26:55Z,2024-10-27T14:34:03Z,2024-10-27T14:34:03Z,True,main,patch-7,2,1,1,3,0,2,0,3,2,0,,0,,False,48.11888888888889,48.11888888888889,True
free-programming-books,EbookFoundation,370951,Python,11676,bangla programing books added,MERGED,sajjadrahman56,2024-10-25T12:56:20Z,2024-10-27T14:36:50Z,2024-10-27T14:36:50Z,True,main,main,7,0,1,7,4,2,0,9,2,0,waiting for changes,1,CHANGES_REQUESTED,False,49.675,49.675,True
free-programming-books,EbookFoundation,370951,Python,11673,Update free-courses-pl.md,CLOSED,SrishBansal,2024-10-25T09:30:02Z,2025-05-23T00:17:22Z,,False,main,patch-3,4,5,1,9,8,2,0,6,2,0,linter error|stale,2,CHANGES_REQUESTED,False,5030.788888888889,,True
free-programming-books,EbookFoundation,370951,Python,11663,Added Linux books in Tamil language,MERGED,0xParcival,2024-10-24T05:14:54Z,2024-10-26T16:04:54Z,2024-10-26T16:04:54Z,True,main,main,7,0,1,7,2,2,1,3,2,0,waiting for changes,1,CHANGES_REQUESTED,False,58.833333333333336,58.833333333333336,True
free-programming-books,EbookFoundation,370951,Python,11646,[PR] Add DevOps and Software Testing Essential books in Tamil,MERGED,sanjesh17,2024-10-22T14:11:23Z,2024-10-23T16:06:45Z,2024-10-23T16:06:45Z,True,main,main,12,0,1,12,1,2,0,2,2,0,waiting for changes,1,,False,25.922777777777778,25.922777777777778,True
free-programming-books,EbookFoundation,370951,Python,11633,Added Python book resource,MERGED,bleu-cats,2024-10-21T05:07:51Z,2024-10-22T19:17:18Z,2024-10-22T19:17:18Z,True,main,bleu-cats-patch-1,1,0,1,1,1,2,0,3,2,0,waiting for changes,1,,False,38.1575,38.1575,True
free-programming-books,EbookFoundation,370951,Python,11632,Added a couple of Linux courses,CLOSED,waltherman,2024-10-21T03:39:59Z,2025-05-23T00:17:30Z,,False,main,main,2,0,1,2,4,2,0,2,3,0,waiting for changes|stale,2,CHANGES_REQUESTED,False,5132.625277777778,,True
free-programming-books,EbookFoundation,370951,Python,11606,Add new Arduino course in pl lang,MERGED,dariuszzbyrad,2024-10-18T10:33:32Z,2024-10-21T13:24:13Z,2024-10-21T13:24:12Z,True,main,add-new-arduino-course,1,0,1,1,1,2,0,3,2,0,question,1,,False,74.84472222222222,74.84444444444445,True
free-programming-books,EbookFoundation,370951,Python,11593,Added new JavaScript course for pl lang,CLOSED,dr0er,2024-10-16T12:51:42Z,2024-12-20T13:15:49Z,,False,main,main,2,0,1,2,2,2,0,3,3,0,waiting for changes,1,,False,1560.4019444444446,,True
free-programming-books,EbookFoundation,370951,Python,11585,Add License Tags to 3 Books,MERGED,MananJain-IITJ,2024-10-16T07:42:54Z,2024-10-16T21:30:24Z,2024-10-16T21:30:24Z,True,main,main,3,3,1,6,0,2,0,4,3,0,,0,,False,13.791666666666666,13.791666666666666,True
free-programming-books,EbookFoundation,370951,Python,11581,Fixed React and react native contents ,CLOSED,manvith12,2024-10-16T04:52:40Z,2024-12-20T12:48:41Z,,False,main,fixes,0,1,1,1,11,2,0,6,3,0,question,1,,False,1567.933611111111,,True
free-programming-books,EbookFoundation,370951,Python,11572,Fix case. Php < PHP,MERGED,hstsethi,2024-10-15T12:40:53Z,2024-10-16T02:51:04Z,2024-10-16T02:51:04Z,True,main,patch-1,3,3,1,6,7,2,0,3,3,0,waiting for changes,1,CHANGES_REQUESTED,False,14.169722222222223,14.169722222222223,True
public-apis,public-apis,366880,Python,4103,Remove Forismatic API,CLOSED,vaibhav-madan-20,2025-01-03T17:00:58Z,2025-03-17T11:51:59Z,,False,master,patch-1,0,1,1,1,2,2,0,1,5,0,,0,,False,1746.8502777777778,,True
public-apis,public-apis,366880,Python,4040,Update README.md with new contribution,CLOSED,parshwa913,2024-10-24T19:20:06Z,2024-10-25T12:59:00Z,,False,master,my-new-branch,1,0,1,1,0,2,0,1,3,0,,0,,False,17.648333333333333,,True
public-apis,public-apis,366880,Python,3544,Update url for Inspiration in Personality,CLOSED,George-Ogden,2023-06-15T12:01:22Z,2024-07-14T11:54:19Z,,False,master,patch-1,1,1,1,2,1,2,0,2,3,0,,0,,False,9479.8825,,True
public-apis,public-apis,366880,Python,3268,Added developer jobs uk and remoteuk api,CLOSED,russ-stephens,2022-08-13T11:14:31Z,2023-10-04T10:40:19Z,,False,master,patch-1,2,0,1,2,6,2,0,1,6,0,enhancement,1,,False,10007.43,,True
public-apis,public-apis,366880,Python,3235,added Webvium browser api to development,CLOSED,mrepol742,2022-07-08T06:38:56Z,2022-07-15T21:45:55Z,,False,master,master,1,0,1,1,1,2,0,1,4,0,enhancement,1,,False,183.11638888888888,,True
public-apis,public-apis,366880,Python,3078,Add Hirak FaceAPI to Machine Learning,MERGED,FayeNichols,2022-03-02T05:51:35Z,2022-03-10T05:31:21Z,2022-03-10T05:31:21Z,True,master,patch-5,1,0,1,1,0,2,0,2,2,0,,0,,False,191.6627777777778,191.6627777777778,True
public-apis,public-apis,366880,Python,3056,Add FoodData Central API to Food and Drink,CLOSED,danielbarr3ra,2022-02-11T06:24:08Z,2022-03-02T03:41:45Z,,False,master,FoodDataCentral,1,0,1,1,1,2,0,1,3,0,,0,,False,453.2936111111111,,True
public-apis,public-apis,366880,Python,3052,Add GDBrowser API,MERGED,sastofficial,2022-02-09T14:05:51Z,2022-02-18T16:14:42Z,2022-02-18T16:14:42Z,True,master,gdbrowser,1,0,1,1,1,2,0,1,3,0,,0,,False,218.1475,218.1475,True
public-apis,public-apis,366880,Python,3039,Add OceanFacts to Math & Science,MERGED,willuhmjs,2022-01-30T02:45:12Z,2022-02-01T20:50:14Z,2022-02-01T20:50:14Z,True,master,master,1,0,1,1,1,2,0,2,2,0,,0,,False,66.0838888888889,66.0838888888889,True
